title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/31050440'>Love Thy Neighbour</a>,puppybusby,Completed,8417,6676,1741,210556,Explicit,178251,13,2021-11-24,"Alternate Universe - Neighbors, Miscommunication, Fluff, Masturbation, Vaginal Fingering, Cunnilingus, Strap-Ons, Sexy Times"
<a href='https://archiveofourown.org/works/43392936'>of greater marvels yet to be</a>,seabiscuit,Completed,7958,6942,1016,77789,Explicit,47765,5,2022-12-27,"it's a semi-fleabag au, beatrice is a nun, and ava is the horny dirtbag who loves her"
<a href='https://archiveofourown.org/works/43734876'>the definition of insanity</a>,SimplyKorra,Completed,6924,5943,981,118345,Explicit,83453,13,2023-02-01,"Alternate Universe - Canon Divergence, Gay Mess Sister Beatrice (Warrior Nun), Ava and Bea hook up after the fight in s2e1, They then proceed to keep doing it, Oops, Smut, Ava is in love big time"
<a href='https://archiveofourown.org/works/43119381'>the gods we can touch</a>,lescousinsdangereux,Completed,6397,5060,1337,94203,Teen And Up Audiences,49712,7,2022-12-21,"Canon Compliant, Takes place during the two months they spend in Switzerland because come ON, Pre-Season/Series 02, Sharing a Bed, Almost Kiss, more like almost kissES let's be real, Mutual Pining, POV Alternating, (from chapter to chapter), POV Sister Beatrice (Warrior Nun), POV Outsider, POV Ava Silva, Post-Season/Series 02, (for the last chapter)"
<a href='https://archiveofourown.org/works/43692444'>falling (for you) like snow on christmas</a>,totheflame,Completed,6229,5296,933,48468,Mature,58428,9,2022-12-31,"Hallmark AU, ava gets stranded in the snow while trying to win back her ex, beatrice is the brooding love interest with a heart of gold, Slow Burn, content warning: utah"
<a href='https://archiveofourown.org/works/43147122'>we can be brilliant</a>,sxftmelody,Completed,6227,5850,377,60377,Teen And Up Audiences,21305,1,2022-11-18,"Fake/Pretend Relationship, Implied/Referenced Homophobia, Fluff, theyre idiots your honor"
<a href='https://archiveofourown.org/works/43165149'>To climb a tree</a>,Frenchsoda,Completed,5986,5215,771,82268,Explicit,48596,10,2023-01-22,"personal trainer beatrice, personal train wreck ava, Smut, Alternate Universe - Gym, and yes they flip flop!!"
<a href='https://archiveofourown.org/works/43209588'>let me photograph you in this light (in case this is the last time)</a>,SimplyKorra,Completed,4697,3998,699,54090,Mature,53189,12,2022-12-29,"Post-Traumatic Stress Disorder - PTSD, Hurt/Comfort, A lot of physical contact as is the avatrice way, Post-Season/Series 02, Ava has chronic pain, Beatrice has chronic heart eyes, Fluff and Angst"
"<a href='https://archiveofourown.org/works/44135007'>if mine, then yours (and so all yours)</a>",seabiscuit,Completed,3924,3635,289,40270,Explicit,29653,3,2023-01-22,"my government mandated switzerland fic, squirting as character development"
<a href='https://archiveofourown.org/works/26469691'>Standing in a summer haze (are we gonna be okay?)</a>,Galaxiez,Completed,3834,3249,585,64720,Teen And Up Audiences,73437,14,2023-01-22,"lake house retreat au, Angst and Pining, Lots and lots of Pining"
<a href='https://archiveofourown.org/works/25874977'>for all of the times i never could (i'll be good)</a>,orphan_account,Completed,3704,3168,536,67579,Teen And Up Audiences,50125,15,2020-11-26,"Angst and Hurt/Comfort, Angst and Tragedy, Canon-Typical Violence, Emotional Hurt, Blood and Injury, Possible Character Death, Heavy Angst, Demonic Possession"
<a href='https://archiveofourown.org/works/25698862'>Because the Light Is Close</a>,foibles_fables,Completed,3360,2849,511,41831,Mature,25353,5,2020-09-07,"Post-Season/Series 01, Pre-Femslash, Gay yearning, Internalized Homophobia, Explicit Language, Sharing a Bed, Light Angst, Hurt/Comfort, Any Number of Feelings, POV Multiple, Friendship, weird post-crisis road trip"
<a href='https://archiveofourown.org/works/43541728'>between the bitten shelves</a>,that_one_urchin,Completed,3288,3118,170,28566,Explicit,22999,2,2022-12-25,"Alternate Universe - College/University, Sexual Tension, Tutoring, this is eighty percent ava's thirst, twenty percent hot tutor beatrice agenda, Praise Kink, Orgasm Delay/Denial"
<a href='https://archiveofourown.org/works/25413562'>An Apple a Day</a>,"ButterflyGardenia, PaperHatsandPaperBoats",Completed,3083,2355,728,82167,Mature,328166,55,2022-06-07,"attempts at humor, Blood and Injury, Please read Ch 51 notes if youre not into that sort of thing, everything is an AU when season 2 hasn't happened, Rated M only in Chapter 51 & 53"
<a href='https://archiveofourown.org/works/25374133'>The Thread Between Us</a>,surpanakha,Completed,3076,2369,707,66659,Explicit,180995,17,2020-12-31,"Alternate Universe, Some depictions of violence, Awkward Sexual Situations, Implied/Referenced Sexual Assault, graphic depictions of sex, Drama, Lots of drama, and heartache, this has a sprinkling of lilshotgun, Implied/Referenced Rape/Non-con, Angst with a Happy Ending"
<a href='https://archiveofourown.org/works/25753864'>lonely nights</a>,exprsslyfrbidden,Completed,2935,2502,433,33653,Mature,29830,8,2020-09-12,"Emotional Hurt/Comfort, Nightmares, Fluff, Yearning, slight angst, Shenanigans, Cuddling, Sharing a Bed, just all those classic fic tropes, it does get steamy, but it's like a hot shower steamy, not a full on sauna steamy, tasteful steamy, Dreams"
<a href='https://archiveofourown.org/works/43739377'>i sense a rhythm humming in a frenzy</a>,littlepacketofchips,Completed,2886,2614,272,37764,Explicit,33922,6,2023-01-16,"Mutual Pining, 1980s, ava throws a halloween party, and knows a lot about film"
<a href='https://archiveofourown.org/works/28134153'>Snapshots for the future</a>,puppybusby,Completed,2725,2492,233,31574,General Audiences,26172,3,2020-12-26,"Christmas Fluff, Ava and Beatrice? SOFT AND IN LOVE, the others? Chaotic and absolutely shipping them, Fluff and Humor, does it border on crack, perhaps"
<a href='https://archiveofourown.org/works/43847632'>in which the desperation continues.</a>,AdeleDazeem,Completed,2520,2332,188,26948,Mature,22379,4,2023-01-14,"Established Relationship, Alternate Universe - College/University, Alternate Universe - No Powers, more of the same dumbassery really, POV Ava Silva, They're still idiots, Ava's just trying to hit (respectfully), but significantly hornier ones, i swear they are working on it though, alternate title: 'am i more than you bargained for yet?', First Time"
<a href='https://archiveofourown.org/works/43189345'>at least we had today</a>,Reydar,Completed,2393,2240,153,23390,Mature,43751,5,2023-01-08,"Post Season 2, Fluff, Mild Angst, Hurt/Comfort, a lot more angst, Emotional Hurt/Comfort, in that order, reunion scene, followed by a possible future, netflix giveth and netflix taketh away etc etc, what was supposed to be a cute reunion oneshot has since turned into basically season 3, you know how it goes, rated M for chapter 4"
<a href='https://archiveofourown.org/works/25911055'>The Young Martyr</a>,DangersUntoldHardshipsUnnumbered,Completed,2376,1775,601,26087,Explicit,22698,15,2020-08-29,"Art, Post-Canon"
<a href='https://archiveofourown.org/works/43183870'>The Miracles of the Halo</a>,TheBlueMoonStories,Completed,2169,1866,303,47591,Mature,105156,40,2023-01-09,"Post-Season/Series 02, Emotional Hurt/Comfort, Healing, Love Confessions, Forgiveness, Angels, Magical Pregnancy, Miracles, Family Dynamics, Light Angst, Blood and Injury, Blood and Violence, Character Death, Lesbian Sex, Sex"
<a href='https://archiveofourown.org/works/30448410'>Silentium Instrumentum</a>,GleeCastOST,Completed,2046,1548,498,36845,Mature,81609,35,2021-07-08,"Assassin AU, Angst, More angst, Some humour, this is going to be kind of dark, Some Fluff, Enemies to Lovers"
<a href='https://archiveofourown.org/works/43331556'>An Ex For Christmas</a>,heartinvacancy,Completed,2010,1810,200,29263,Mature,41890,13,2023-01-05,"Friends to Lovers, they love each other your honor, no beta we die like shutgun mary, Smut, Eventual Smut, Explicit Sexual Content, Slow Burn, oblivious Ava, like really fucking oblivious, pinning Beatrice"
<a href='https://archiveofourown.org/works/29069901'>Processing</a>,puppybusby,Completed,2003,1849,154,29953,Teen And Up Audiences,35341,4,2021-02-10,"Training, Sharing a Bed, Found Family, ava processes a lot of trauma, Sleepy Cuddles, Nightmares, Making Out, Accidental Choking, as a treat, Praise Kink"
