title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/43380316'>show me something of a reckoning</a>,explosivesky,Completed,8605,7941,664,93057,Explicit,18951,2,2022-12-02,"Canon Divergent, switzerland fake dating turned real dating au, hans is there. what a man what a catalyst, ava is horny and has a praise kink as she DESERVES, in this house of god we break our vows for love"
<a href='https://archiveofourown.org/works/25253053'>light me up</a>,doughnutwhore,Completed,5191,4951,240,34487,General Audiences,3791,3,2020-07-20,"dumbass energy, big gay, lots of yearning, sort of crack but not really, Fun and Fluff, jealous beatrice, Happy Ending"
"<a href='https://archiveofourown.org/works/43302543'>desperate times, desperate measures</a>",AdeleDazeem,Completed,4874,4519,355,37818,Teen And Up Audiences,18207,3,2022-12-11,"Alternate Universe - College/University, Alternate Universe - No Powers, Fluff, Getting Together, they're idiots your honour, intricate rituals etc, Gay Panic as a coping mechanism, Crack Treated Seriously, crack rating: 7/10, it's the Hickey AU of course, POV Sister Beatrice (Warrior Nun)"
<a href='https://archiveofourown.org/works/43663245'>the opposite of faith</a>,explosivesky,Completed,4200,3924,276,36759,Explicit,14158,1,2022-12-17,"ava comes back right au, so right she is a god, and. well. gods need worship., Post Season 2, no seriously they have a lot of sex. it's all plot relevant. totally."
<a href='https://archiveofourown.org/works/43235196'>my heart still beats the same way (I can try to hide it if you'd like)</a>,totheflame,Completed,3691,3507,184,23596,Teen And Up Audiences,18047,2,2022-11-26,"College AU, Friends to Lovers, their love is requited they're just idiots"
"<a href='https://archiveofourown.org/works/43137286'>She's back, bitches</a>",Frenchsoda,Completed,2528,2465,63,15561,Explicit,5878,1,2022-11-18,"Post-Canon, lots of fluff, also smut, They deserve to be happy okay"
"<a href='https://archiveofourown.org/works/43086942'>a nun, a halo bearer, and an interdimensional pseudo-demon walk into an apartment</a>",nirav,Completed,2374,2184,190,14586,Teen And Up Audiences,13422,3,2022-11-20,NA
<a href='https://archiveofourown.org/works/25458286'>My Sister's Keeper</a>,DangersUntoldHardshipsUnnumbered,Completed,2338,1871,467,21141,Mature,13860,6,2020-08-01,NA
"<a href='https://archiveofourown.org/works/42401016'>dumbest decisions, sweetest delights</a>",that_one_urchin,Completed,2298,2248,50,13208,Not Rated,5129,1,2022-11-13,"Mutual Pining, Fluff, Sexual Tension, Sparring, Awkward Crush, Gay Mess Ava Silva, Ava Silva Being a Dumbass"
<a href='https://archiveofourown.org/works/43342623'>Hymn For Her</a>,Fluid_Thoughts,Completed,2209,2124,85,18376,Explicit,12853,3,2023-01-02,"Fluff, Happy, Sexy, Making Out, we better get a season three bitches, Fluff and Smut"
<a href='https://archiveofourown.org/works/25156849'>A Thousand Love Languages for You</a>,FreeGrain,Completed,2203,2115,88,15451,General Audiences,4446,1,2020-07-09,"Love Confessions, Mild Angst, Internalized Homophobia"
<a href='https://archiveofourown.org/works/25150837'>In the Dark of Night</a>,fembuck,Completed,2133,2071,62,17276,Teen And Up Audiences,2725,1,2020-07-08,"Femslash, Pre-Femslash, Friends with Feelings, Tenderness, Fluff"
<a href='https://archiveofourown.org/works/43363879'>move the kitchen table out to the lawn</a>,Care,Completed,2078,1966,112,16100,Teen And Up Audiences,6532,1,2022-12-01,"Fake/Pretend Relationship, Switzerland era, featuring my boy Hans!"
<a href='https://archiveofourown.org/works/43245351'>breath like apples</a>,mermaiddrunk,Completed,2062,2003,59,14329,Explicit,3229,1,2022-11-24,"PWP, confessional porn, just a smutty good time, church kink"
"<a href='https://archiveofourown.org/works/43218144'>i want you quite often, i want you all of the time</a>",nirav,Completed,2001,1937,64,11017,Teen And Up Audiences,9489,1,2022-11-23,NA
<a href='https://archiveofourown.org/works/44304232'>winter hymnal</a>,mermaiddrunk,Completed,1990,1858,132,19375,Explicit,18241,3,2023-01-26,"Post-Canon, Snowed In, two idiots being bad at communication, secret sannie 2022"
<a href='https://archiveofourown.org/works/43485546'>the best of a small town is in your mouth</a>,nirav,Completed,1972,1868,104,12332,Teen And Up Audiences,7248,1,2022-12-07,NA
"<a href='https://archiveofourown.org/works/43029294'>the business of faith (or: four times sister beatrice believed in ava silva, and one time she didn't)</a>",nirav,Completed,1928,1843,85,10750,Teen And Up Audiences,9552,1,2022-11-12,NA
<a href='https://archiveofourown.org/works/43002471'>some place alone (just you and me)</a>,totheflame,Completed,1883,1810,73,11434,Teen And Up Audiences,5550,1,2022-11-11,"Pre-Season/Series 02, Pining, Sharing a Bed, Fluff and Angst, Featuring Touch-Starved Ava, POV Sister Beatrice (Warrior Nun)"
<a href='https://archiveofourown.org/works/43179801'>We'll Build in Sonnets Pretty Rooms</a>,Care,Completed,1883,1748,135,10759,Explicit,9505,1,2022-11-20,"Future Fic, Canon Compliant"
<a href='https://archiveofourown.org/works/43279642'>(what if i can't prove) the strength of your touch</a>,lightsaroundyourvanity,Completed,1870,1805,65,18634,Teen And Up Audiences,5842,1,2022-11-26,"Sparring, Hurt/Comfort, switzerland years"
<a href='https://archiveofourown.org/works/25293412'>Signs of Drowning</a>,AWarningSign,Completed,1851,1766,85,15437,Teen And Up Audiences,4886,3,2020-07-20,"Respect the water, Ava still can't swim, Luckily Sister Beatrice can"
