title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/43380316'>show me something of a reckoning</a>,explosivesky,Completed,8605,7941,664,93057,Explicit,18951,2,2022-12-02,"Canon Divergent, switzerland fake dating turned real dating au, hans is there. what a man what a catalyst, ava is horny and has a praise kink as she DESERVES, in this house of god we break our vows for love"
"<a href='https://archiveofourown.org/works/43302543'>desperate times, desperate measures</a>",AdeleDazeem,Completed,4874,4519,355,37818,Teen And Up Audiences,18207,3,2022-12-11,"Alternate Universe - College/University, Alternate Universe - No Powers, Fluff, Getting Together, they're idiots your honour, intricate rituals etc, Gay Panic as a coping mechanism, Crack Treated Seriously, crack rating: 7/10, it's the Hickey AU of course, POV Sister Beatrice (Warrior Nun)"
<a href='https://archiveofourown.org/works/43663245'>the opposite of faith</a>,explosivesky,Completed,4200,3924,276,36759,Explicit,14158,1,2022-12-17,"ava comes back right au, so right she is a god, and. well. gods need worship., Post Season 2, no seriously they have a lot of sex. it's all plot relevant. totally."
<a href='https://archiveofourown.org/works/43235196'>my heart still beats the same way (I can try to hide it if you'd like)</a>,totheflame,Completed,3691,3507,184,23596,Teen And Up Audiences,18047,2,2022-11-26,"College AU, Friends to Lovers, their love is requited they're just idiots"
"<a href='https://archiveofourown.org/works/43086942'>a nun, a halo bearer, and an interdimensional pseudo-demon walk into an apartment</a>",nirav,Completed,2374,2184,190,14586,Teen And Up Audiences,13422,3,2022-11-20,NA
<a href='https://archiveofourown.org/works/43342623'>Hymn For Her</a>,Fluid_Thoughts,Completed,2209,2124,85,18376,Explicit,12853,3,2023-01-02,"Fluff, Happy, Sexy, Making Out, we better get a season three bitches, Fluff and Smut"
<a href='https://archiveofourown.org/works/43363879'>move the kitchen table out to the lawn</a>,Care,Completed,2078,1966,112,16100,Teen And Up Audiences,6532,1,2022-12-01,"Fake/Pretend Relationship, Switzerland era, featuring my boy Hans!"
<a href='https://archiveofourown.org/works/43245351'>breath like apples</a>,mermaiddrunk,Completed,2062,2003,59,14329,Explicit,3229,1,2022-11-24,"PWP, confessional porn, just a smutty good time, church kink"
"<a href='https://archiveofourown.org/works/43218144'>i want you quite often, i want you all of the time</a>",nirav,Completed,2001,1937,64,11017,Teen And Up Audiences,9489,1,2022-11-23,NA
<a href='https://archiveofourown.org/works/44304232'>winter hymnal</a>,mermaiddrunk,Completed,1990,1858,132,19375,Explicit,18241,3,2023-01-26,"Post-Canon, Snowed In, two idiots being bad at communication, secret sannie 2022"
<a href='https://archiveofourown.org/works/43485546'>the best of a small town is in your mouth</a>,nirav,Completed,1972,1868,104,12332,Teen And Up Audiences,7248,1,2022-12-07,NA
<a href='https://archiveofourown.org/works/43179801'>We'll Build in Sonnets Pretty Rooms</a>,Care,Completed,1883,1748,135,10759,Explicit,9505,1,2022-11-20,"Future Fic, Canon Compliant"
<a href='https://archiveofourown.org/works/43279642'>(what if i can't prove) the strength of your touch</a>,lightsaroundyourvanity,Completed,1870,1805,65,18634,Teen And Up Audiences,5842,1,2022-11-26,"Sparring, Hurt/Comfort, switzerland years"
<a href='https://archiveofourown.org/works/43779792'>there's a funeral in your eyes</a>,nirav,Completed,1837,1737,100,12606,Teen And Up Audiences,12004,1,2022-12-23,"Canon-Typical Violence, in which a wraith demon is defeated by the power of gay love and ava silva's choking kink"
"<a href='https://archiveofourown.org/works/43699260'>One quiche, ready to go</a>",Vapora,Completed,1803,1758,45,16283,Explicit,10831,2,2023-01-07,"Explicit Sexual Content, Vaginal Fingering, Choking, Praise Kink, beatrice is a top, ava is a bratty bottom, Misunderstandings, wrote this after thirsts tweets, Begging, Post Season 2, Quiche, Quickies"
"<a href='https://archiveofourown.org/works/43950438'>Devotion, Fidelity, Commitment, And Other Synonyms</a>",morningsound15,Completed,1777,1701,76,14935,Explicit,10748,1,2022-12-30,"Canon Compliant, Pining, Internalized Homophobia, Sexual Repression, Longing, Sharing a Bed, Light Angst, Happy Ending, happy ending wink wink, sex as devotion, religious epiphanies via horniness, Strap-Ons, sappy themes effusive love etc. etc., what can i say i love a girl who simps, Worship, Praise Kink, hmm i seem to be very into these themes must explore more later"
<a href='https://archiveofourown.org/works/43176573'>God's Bartender</a>,ThornedRose44,Completed,1727,1610,117,11621,Teen And Up Audiences,14147,3,2022-12-03,"Post-Season 2, Ava out stubborns God, Attempt at Humor, Fluff and Angst, Angst with a Happy Ending, Look its a little weird, lots of talking"
"<a href='https://archiveofourown.org/works/43169670'>give and take, push and pull</a>",that_one_urchin,Completed,1711,1683,28,13685,Not Rated,5332,1,2022-11-21,"First Time, Sexual Content, Sexual Tension, Fluff, Gay Mess Ava Silva, Religious Guilt, Emotional Hurt/Comfort"
<a href='https://archiveofourown.org/works/43318047'>this is where we start again</a>,latkeparty,Completed,1709,1550,159,11735,Not Rated,8035,1,2022-11-29,"post canon (s2), Alternate Universe - Canon Divergence, Angst with a Happy Ending, 5+1 Things, i know it's technically a mcd but it's also not just trust me"
<a href='https://archiveofourown.org/works/43561114'>Signals</a>,NinesRadScreenname,Completed,1673,1606,67,13974,Explicit,12753,3,2023-01-16,"First Kiss, Friends to Lovers, Season 2 Switzerland setting, Beatrice is a gay mess, Ava is the queen of barely repressed longing, Light Angst, You knew it was gonna get smutty lesbihonest, First Time"
<a href='https://archiveofourown.org/works/43753599'>so i can finally sing your song</a>,mermaiddrunk,Completed,1637,1579,58,13111,Explicit,6927,1,2022-12-21,"Sex Pollen, or...divinium sex hormone, definitely the smuttiest thing i've ever written, Post S2"
<a href='https://archiveofourown.org/works/44062170'>keep the faith (it's only you and me)</a>,totheflame,Completed,1619,1576,43,15090,Explicit,4158,1,2023-01-04,"Established Relationship, Accidental Voyeurism, Strap-Ons"
<a href='https://archiveofourown.org/works/44036988'>you're in my life (can't get you off my mind)</a>,TheGoatWithAPen,Completed,1581,1497,84,9063,Teen And Up Audiences,15757,1,2023-01-03,"Alternate Universe - College/University, Texting, Fluff, Wrong Number AU"
<a href='https://archiveofourown.org/works/43158036'>F**k Your Vows</a>,WeHaveComeUndone,Completed,1514,1466,48,14344,Mature,7294,3,2022-12-24,"beatrice is oblivious, Everyone Is Gay, Gay Nuns, ava is horny, Top Ava, jealous! Ava, Warrior Nun S2, Avatrice"
"<a href='https://archiveofourown.org/works/43151203'>with you i serve, with you i fall down</a>",nirav,Completed,1513,1458,55,8828,Teen And Up Audiences,7703,1,2022-11-19,NA
<a href='https://archiveofourown.org/works/43184244'>I Believe in Things We Cannot See</a>,mermaiddrunk,Completed,1488,1439,49,11251,Teen And Up Audiences,2037,1,2022-11-21,NA
<a href='https://archiveofourown.org/works/43561041'>I search myself (I want you to find me)</a>,paddingtonfan69,Completed,1423,1346,77,8350,Explicit,7204,1,2022-12-12,"Masturbation, Canon Compliant, 5+1 Things, takes place during s1 and s2 and then post s2, also i think this might be the only wn fic that starts with a Seinfeld reference, but I would love to be proven wrong"
<a href='https://archiveofourown.org/works/43392759'>my body was bruised (I was set alight)</a>,totheflame,Completed,1392,1361,31,7679,Teen And Up Audiences,3218,1,2022-12-03,"Hurt/Comfort, Angst"
<a href='https://archiveofourown.org/works/43156620'>in her careful hands</a>,unicyclehippo,Completed,1360,1194,166,7382,General Audiences,11994,2,2022-11-25,"ava got a bisexual bob & im obsessed, Discussions of abuse, discussions of trauma, beatrice is lesbian & is being TESTED, it's not her fault that ava is so cute but it is her fault that she helps ava get cuter, pre-season two, turned from a haircut fic to a conversations fic"
<a href='https://archiveofourown.org/works/43210659'>saw you in a dream</a>,totheflame,Completed,1360,1327,33,7051,General Audiences,1660,1,2022-11-22,"Slight Canon Divergence, Tumblr Prompt, Ficlet"
<a href='https://archiveofourown.org/works/43329501'>lifelong love letter</a>,Smokestarrules,Completed,1339,1264,75,6688,Teen And Up Audiences,3546,1,2022-11-30,"Hurt/Comfort, One Shot, Ava POV After The Fall, (Yes That One), Blood and Injury, It's Healed But Covering All My Bases, Introspection, They're so in love it hurts, Canon Compliant, Fluff and Angst, bro theyre so soft what the hell, I'm a different person from who I was before nov 10, yk the 'there was only one bed' trope, this one has TWO beds but they only need one, title is from sara bareilles' ""I Choose You"" bc it reminds me of them"
<a href='https://archiveofourown.org/works/43279194'>J is for Jealousy</a>,Vapora,Completed,1337,1313,24,7989,Teen And Up Audiences,5720,1,2022-11-26,"Jealousy, First Kiss, Friends to Lovers, Not Canon Compliant, honestly i can't stop thinking about these two, Fluff, Light Angst, Fluff and Crack, i wrote this at work"
<a href='https://archiveofourown.org/works/43203072'>gotta have you</a>,totheflame,Completed,1308,1277,31,6557,General Audiences,1726,1,2022-11-22,"Tumblr Prompt, Sharing a Bed, Ficlet"
