title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/25242052'>In This Life</a>,VictoriaSees5x5,Updated,5443,4117,1326,134415,Mature,194767,33,2023-02-12,"Canon-Typical Violence, Friendship, Friendship/Love, Avatrice, Romance, Healing, Healthy Relationships, Moderate slow burn, Random pride parade, Internalized Homophobia, Religious Imagery & Symbolism, Women Being Awesome, Badass Beatrice, Angst and Feels, Action with plot, Romance With Plot, Bad Puns, It's long but an ending is coming...!, Zombie nuns, maryisalive"
<a href='https://archiveofourown.org/works/43610208'>who needs comfortable love</a>,the_ominous_owl,Updated,4687,4099,588,67514,Teen And Up Audiences,49253,6,2023-01-28,"sentient halo? sentient halo, i takes a hammer, i breaks the canon, this was supposed to be just fluff why am i like this, i got hurt/comfort all through it sorry, also some angst cos apparently i don't know how to not, we're kondoing the canon like its 2019, and losing mary did not spark joy"
<a href='https://archiveofourown.org/works/43728831'>Do a Flip</a>,sunsafe,Updated,3667,2599,1068,40647,Teen And Up Audiences,64793,6,2023-02-13,"an absolute weapons grade indulgence, diego grows up not knowing about straight people i guess, the other girlies are in this also the gang's all here, no halo au"
<a href='https://archiveofourown.org/works/41061963'>Because of You</a>,NinesRadScreenname,Updated,3503,2842,661,74656,Explicit,92606,22,2023-02-06,"Dead Dove: Do Not Eat, Surgical Trauma, medical gore, Cuts Used to Skip traumatic medical scene, Blood and Injury, Mild Gore, Angst, Action, Canon-Typical Violence, Canon Compliant, Post-Season/Series 01, Pre-Relationship, First Kiss, Eventual Smut, Hurt/Comfort, The Author is too busy to go to therapy so They wrote this instead"
<a href='https://archiveofourown.org/works/44154007'>the bittersweet between my teeth</a>,SimplyKorra,Updated,3085,2473,612,44335,Explicit,83631,10,2023-02-15,"idiots to lovers, Friends With Benefits, coffee shop AU, Alternate Universe - Modern Setting, Smut, Angst"
"<a href='https://archiveofourown.org/works/25912750'>Whatever You Do, Don't Fall In Love</a>",vanilladingdongdie,Updated,3073,2298,775,52085,Teen And Up Audiences,57508,18,2022-11-20,"Avatrice, but in a school AU, Fake Dating CRACK, maybe I dunno yet, Camilil is here too, and yes Shannon is alive in this AU, there's a little plot towards the end so not so crack anymore?"
<a href='https://archiveofourown.org/works/44406271'>What If I Told You I'm A Mastermind?</a>,sapphicstacks,Updated,2359,1554,805,30616,Explicit,75730,22,2023-02-16,"Alternate Universe - Actors, Slow Burn, Eventual Smut, Semi - A Star Is Born AU, bea advocates for ava bc of course she does, also contributing to the avatrice is taylor swift coded agenda, POV Alternating"
<a href='https://archiveofourown.org/works/43155340'>Avatrice One Shots</a>,StellaOquvist21,Updated,1903,1606,297,23458,Not Rated,35012,27,2023-02-09,"oneshots, POV Sister Beatrice (Warrior Nun), POV Ava Silva, Emotional Hurt/Comfort, Tooth-Rotting Fluff, Fluff and Humor, Fluff and Hurt/Comfort, Avatrice, Hurts So Good, Angst with a Happy Ending"
<a href='https://archiveofourown.org/works/43347063'>Home Is Whenever I'm With You</a>,Noteveryonefitsintothebadbitchgenre,Updated,1859,1570,289,31429,Not Rated,51920,25,2023-02-16,"Parenthood, Avatrice, Gay Mess Sister Beatrice (Warrior Nun), Ava Silva Being a Dumbass, Not Canon Compliant, Family Dynamics, Family, Family Fluff, Magical Pregnancy, Time Travel, Not Beta Read, Soft Sister Lilith (Warrior Nun), Background Sister Camila/Sister Lilith (Warrior Nun), Badass Sister Beatrice (Warrior Nun), Adorable Sister Camila (Warrior Nun), No Lesbians Die, Everyone Is Gay, Everyone Is Alive, will add tags as I go along, no beta we die like duretti, Kid Fic"
<a href='https://archiveofourown.org/works/39850872'>The Cure For Deviation</a>,Double_Dublin,Updated,1818,1588,230,39095,Explicit,55744,9,2023-01-05,"Sexual Repression, Internal Conflict, Masturbation, Internalized Homophobia, Shame, Post-Canon, Sharing a Bed"
<a href='https://archiveofourown.org/works/43321642'>seal them up with care</a>,that_one_urchin,Updated,1790,1534,256,23782,Mature,34757,5,2023-01-02,"Alternate Universe - Boarding School, Internalized Homophobia, Angst, Friends to Lovers, Roommates, Jock Ava Silva, Slow Burn, beatrice is going through it but when is she not"
<a href='https://archiveofourown.org/works/43506486'>As Thyself</a>,puppybusby,Updated,1785,1599,186,28306,Explicit,32483,2,2023-01-22,"Established Relationship, New Years, Meeting the Parents, There will be sex"
<a href='https://archiveofourown.org/works/38952003'>in my veins</a>,puppybusby,Updated,1649,1341,308,26933,Explicit,45620,4,2022-11-30,"Alternate Universe - Vampire, Human/Vampire Relationship, Romance, Other Additional Tags to Be Added, Vampire Beatrice, and characters"
<a href='https://archiveofourown.org/works/44306152'>on the run from a losing game</a>,nirav,Updated,1608,1292,316,16895,Mature,44100,6,2023-02-16,secret sannie 2022
<a href='https://archiveofourown.org/works/43002579'>the muril civilization</a>,sxpph1c,Updated,1568,1254,314,28568,Mature,49924,20,2022-12-17,"Canon-Typical Violence, Religious Fanaticism, Actually this has a lot more violence, Holy war, Slow Burn, Alternate Mythology"
<a href='https://archiveofourown.org/works/43652757'>can't come to your party 'cause i think that i'm dead</a>,sevensevan,Updated,1476,933,543,17996,Mature,110079,13,2023-02-13,"Alternate Universe - Buffy The Vampire Slayer Fusion, Violence, Angst, Amnesia, you do not need to have seen buffy you should read this anyway, Slow Burn"
<a href='https://archiveofourown.org/works/44520706'>big mess of little joys</a>,memorysdaughter,Updated,1463,1081,382,20622,Teen And Up Audiences,46809,24,2023-02-13,"Brain Damage, Anxiety, Anxiety Attacks, Separation Anxiety, Love, Medical Procedures, Medical Trauma"
<a href='https://archiveofourown.org/works/43174021'>Texting Nuns with Guns</a>,[],Updated,1430,1306,124,15451,Teen And Up Audiences,20227,11,2023-01-26,"Crack, Fluff, Texting, Idiots in Love, Ava Silva Being a Dumbass, Gay Mess Sister Beatrice (Warrior Nun), Bisexual Ava Silva, Gay Mess Ava Silva, Mary Lives, Soft Sister Lilith (Warrior Nun), Adorable Sister Camila (Warrior Nun), Post-Season/Series 02, Not Canon Compliant, Fluff and Humor, Humor, Background Sister Camila/Sister Lilith (Warrior Nun)"
<a href='https://archiveofourown.org/works/44306314'>a beggar in the morning</a>,lescousinsdangereux,Updated,1374,1078,296,14467,Explicit,26756,3,2023-02-05,"Alternate Universe - Soulmates, but like... religious and horny soulmate AU, I've also been calling it the, Nuns Can Fuck AU, this is gonna get a little dirty......, secret sannie 2022, Happy Ending, Strangers to Lovers to Friends to ????"
<a href='https://archiveofourown.org/works/44165551'>I (Really) Do</a>,Ekhwanders,Updated,1334,1178,156,15759,Explicit,23711,6,2023-02-14,"Fake/Pretend Relationship, Fluff and Smut, Eventual Smut, Alternate Universe - Modern Setting, Idiots in Love"
<a href='https://archiveofourown.org/works/44274049'>how shall i speak of doom</a>,explosivesky,Updated,1309,1143,166,13750,Explicit,25738,2,2023-02-14,"Vampire AU, post apocalyptic, cassette futurism, there's a lot of blood but it's like. in a sexy way, i guess technically this is canon divergent?? whatever have fun, sex. fangs. death as power and death as life and death as seduction"
<a href='https://archiveofourown.org/works/43868026'>will you find me (after life)</a>,TheGoatWithAPen,Updated,1300,1094,206,15689,Teen And Up Audiences,44569,11,2023-02-16,"Alternate Universe, Slow Burn, Ava is a ghost (sort of), Happy Ending"
<a href='https://archiveofourown.org/works/43890340'>the planets & fates & all the stars aligned (i couldn't lose)</a>,possibilist,Updated,1283,1065,218,13497,Mature,27791,4,2023-01-20,"Footy au, woso AU, i love them & i love footy so here we are!"
<a href='https://archiveofourown.org/works/44245282'>mirages of you</a>,totheflame,Updated,1243,1057,186,13055,Mature,35270,2,2023-01-25,"Canon Divergence, Switzerland"
<a href='https://archiveofourown.org/works/43228704'>Your love came back to me</a>,926Ren,Updated,1164,1137,27,12629,Mature,41163,4,2023-01-05,"Fluff, no beta we die like the men standing between Beatrice and Ava, Mild Hurt/Comfort, Canon Compliant, Post Season 2, Eventual Smut"
<a href='https://archiveofourown.org/works/44760031'>be my lover don't play no game</a>,SimplyKorra,Updated,1158,1014,144,9405,Explicit,21932,3,2023-02-14,"hospital au, Smut, Alternate Universe - Modern Setting, also some lilith/chanel on the side, a little more bathroom sex, cause that's a thing apparently"
<a href='https://archiveofourown.org/works/43606944'>say you'll see me again</a>,barbecuepixie13,Updated,1069,977,92,21585,Explicit,49394,14,2023-01-15,"Post-Canon, bastard lilith but we love her, camila getting the captain status like she DESERVES, heartbroken from cancellation and trying to fill the hole (wanky), my attempt at season 3, Eventual Smut, Catholic Guilt, ava is horny bisexual jesus, theres a plot i swear i just have to find it, Reunions, i shall add more tags once i figure out what the heck is going on, Attempt at Humor, i know nothing about being a nun, slight slow burn, Fluff and Angst"
<a href='https://archiveofourown.org/works/43514580'>i should have worshipped her sooner</a>,britishngay,Updated,1051,988,63,16875,Explicit,40661,5,2023-01-08,"Friends With Benefits, but only kinda, its my specialty fic im sorry folks, Smut, Angst, but only internal they talk their shit out, Season 2 AU, The kinda, Slow Burn, That makes u wanna crawl through the screen and sort them out"
<a href='https://archiveofourown.org/works/41018727'>Succession</a>,GleeCastOST,Updated,1040,818,222,19263,Mature,40243,17,2023-02-09,"Angst, Angst and Humour, coffeeshop au but not really, More angst, More humour, also assassin sort of but not like the other one, no one reads tags, Enemies to Lovers"
<a href='https://archiveofourown.org/works/43605582'>A for Effort?</a>,calcifires,Updated,1040,914,126,16162,Teen And Up Audiences,25612,9,2023-02-15,"Alternate Universe - College/University, Slow Burn, College Soccer, Mutual Pining, they're idiots your honor, one night stand to... something more?, soccer player!ava, student tutor!beatrice"
<a href='https://archiveofourown.org/works/44241559'>divine intervention</a>,britishngay,Updated,1027,941,86,18067,Explicit,35080,5,2023-02-14,"Fake/Pretend Relationship, Friends With Benefits, Smut, Angst, they go to uni, theyre in love but they're idiots, Horny idiots, Strap-Ons, physical speedrun but emotional slowburn"
<a href='https://archiveofourown.org/works/44337589'>the tie between us is very fine</a>,everdeen,Updated,1015,876,139,10394,Mature,33166,4,2023-02-13,"Alternate Universe - Modern Setting, I Am Never Ever Ever Gonna Write a Canon Fic...And That's a Promise &lt;3, Friends to Lovers, but also..., Strangers to Lovers"
"<a href='https://archiveofourown.org/works/43679721'>Anyways, We Begin Again</a>",shelteredbyshadow,Updated,968,883,85,16045,Not Rated,59914,12,2023-02-16,"Fluff and Angst, Angst with a Happy Ending, Hurt/Comfort, Emotional Hurt/Comfort, Angst and Hurt/Comfort, Misunderstandings, Injury Recovery"
<a href='https://archiveofourown.org/works/43436980'>Tis' The Damn Season</a>,unburnttkhaleesi,Updated,949,855,94,9949,Mature,22514,6,2022-12-17,"Original Character(s), Minor Original Character(s), just added beatrice;s parents, and an older brother, and a younger sister, bea just hits me as a middle child, Internalized Homophobia, Homophobia, idk man I am writing her mom as a shitty person, and her dad sucks cause he just cheats on her mom with younger women, Minor verbal abuse, Minor Emotional Abuse, beatrice's family sucks, smut in later chapters, AU, Warrior Nun AU, Christmas AU"
<a href='https://archiveofourown.org/works/43199479'>Icing the Game</a>,GleeCastOST,Updated,948,776,172,13016,Teen And Up Audiences,24898,10,2023-02-14,"College AU, Angst probably, crack probably, Humour probably, Hockey, Hockey AU, look bitch idk what the fuck this is"
